,Date,Rating,Message,Author Reviews,Restaurant,sentiment,DayOfWeek
15,2023-01-05,5.0,"5 stars. We have a group we call The Fifty Shades of Gravy Club. We go to a different restaurant the last Saturday of the month. This month we choose this place. When we called for a reservation for a party of 8, they couldn't get us seated together. However, we arrived at 4:30 and Daniel figured out where he could put two tables together as long as we promised to be done by 6:30. I said it would depend on if we got fast service, and boy did we! Our waiter was John. His second day on the job. He was a Wizard. We got happy hour drinks (can you imagine happy hour on a Saturday!) He described all the meats and told us which ones were flavorful but chewy, and which were tender. The sauces were extra. They were to die for. The meat entrees came with a salad that was lightly dressed with a homemade dressing of your choice. Most of the sides were family style and sooo good. I am doing a Keto diet so I was in heaven. The portions of the steak most of us order were huge. Two of the smart people among us shared theirs. I took my leftover home and had dinner again the next day. AND instead of handing me a box for my leftovers, John took my plate back to the kitchen and transferred my food into a styrofoam box that had parchment paper in it. Who does that anymore!?! It was great because I was able to transfer the food using the parchment paper instead of scraping it off the box. Everyone loved what they ordered. I will definitely return to this restaurant again. It is now my new favorite.",16.0,Black Cow,0.9912,Thursday
16,2023-07-05,5.0,"This place is so great!! I love wood-fired meats, generally, and they have chosen quality vendors for them. Drinks, apps, salads, mains, lobster mac and cheese (best I've ever had!!), and dessert was perfect for my husband's (chef) birthday. It's nice to see a menu that is streamlined, straightforward, and executed perfectly in a restaurant that knows itself and it's customers. 

Being a new location, you expect some hiccups, but they really have nailed it with every aspect. They fill that space well. We can't wait to go back.",49.0,Black Cow,0.9385,Wednesday
17,2023-05-17,5.0,"My new favorite spot in Charlottesville..!! The best Steaks, ambiance and service.

Forgot South and Central..! This place tops it by far..!",2.0,Black Cow,0.913,Wednesday
18,2023-05-29,5.0,"We were passing through Charlottesville and were looking for a good place for dinner.  We found the Black Cow and were really glad we chose this restaurant to eat at.  The service was fantastic, but the food is what we will remember most!  The smoked oysters are to die for, the truffle fries are the best we have ever had ANYWHERE, the burger was fantastic and the beet salad was amazing. This restaurant is new and I truly hope the locals support them so that we can keep coming back whenever we are in Charlottesville!",4.0,Black Cow,0.9831,Monday
19,2023-10-06,5.0,"Big fan of Daniel Kaufman's eateries, and this is no exception. Delicious menu to eat through. You can spend a lot or spend a little (one great steak frites special), and the cocktail menu keeps you coming back for more. If you haven't been to Public Fish or Black Cow, do yourself a favor and get here pronto.",220.0,Black Cow,0.8839,Friday
20,2023-11-06,5.0,"We had a great dinner here for our anniversary! Once we were there, we learned the restaurant has only been open a few months. The steaks were cooked to perfection! Each entree comes with a side salad (which was large) of tender greens with thin sliced radish and cucumber. We had the Choice of their homemade ranch or vinaigrette, which were both tasty. We had the steak tartar for an appetizer and it was on point!! I had the filet mignon and my husband the Chateubriand  and they were both cooked to perfection. My filet was like butter. You have several choices of toppings for your steak, if you wish. My husband got the béarnaise sauce and it was very light and tasty. Each steak also comes with a yummy roasted pearl onion/garlic side. We share the creamed spinach for a side and it was delicious! The key lime pie is probably better then the key lime pie we had in the Keys! Tart and sweet but not too sweet. Our server was very nice and informative and knew the menu well and gave good recommendations- which we appreciate. We would definitely recommend this place and we will return when we visit Cville in the future.",13.0,Black Cow,0.9918,Monday
21,2023-06-13,5.0,Superb!! Service was great. Everyone was very helpful navigating the menu. The food was fantastic with the exception of the Brussel sprouts which were almost burnt in my opinion. The drinks were very good with creative presentations. Our family enjoyed ourselves immensely. Will be back!,6.0,Black Cow,0.9786,Tuesday
22,2023-06-27,5.0,Their Ny Strip is one of the best steaks I've ever had. Service was excellent and after dinner drinks at the bar were on point. Excellent high end bourbon selection as well.  Looking forward to making this my go to restaurant when visiting C'Ville.,2.0,Black Cow,0.9287,Tuesday
23,2023-02-07,5.0,"REVISED REVIEW: The owner went above and beyond to rectify a bad experience. After returning home to Massachusetts from our engagement vacation, we received an unexpected gift of champagne. Daniel Kaufman is a stand up person who will do anything for his patrons. My fiancée and I look forward to returning to this restaurant!",6.0,Black Cow,0.5983,Tuesday
24,2023-05-07,5.0,"This past weekend we ate at Black Cow Chophouse and I enjoyed one of the best meals I've ever had! 

We had their special mezcal cocktail to start then ordered the buttermilk fried oysters for an appetizer. I love fried oysters but these were were absolutely fantastic. 

All of the mains come with a fresh green salad with a choice of housemade dressings.  I got the fresh greens with vinaigrette dressing and while everyone makes a vinaigrette this one was exceptionally tasty.

We shared the bone in ribeye steak and an order of crab cakes for our main meal. 

The steak was delicious on its own but we added a few sauces including bearnaise sauce, peppercorn cream with cognac sauce and the horseradish sauce all of which were wonderful and pretty much pushed the steak over the top. 

The crab cakes had huge pieces of pure lump crabmeat combined with fresh seasonings, served with a light aioli so the flavor of the crabmeat really came through. 

We also ordered sides of smashed potatoes, fried brussel sprouts and fresh grilled zucchini. The potatoes were cooked so they were soft on the inside but had a slight crunch when you bit into them. They were topped with a light chimichurri sauce that made an amazing dish even better.  I'm not a brussel sprouts fan but the fried brussel sprouts were fantastic, light and slightly crisp so they would just melt in your mouth. I couldn't stop eating them! Then, I really wasn't expecting anything from the zucchini but again I was surprised by a dish that was lightly seasoned and cooked perfectly so it really provided a great balance to the meal. For dessert we shared the key lime pie and the chocolate mousse with sea salt and again, both dishes were fantastic - the key lime pie is now my favorite dessert of all time.

The staff were extremely attentive and delivered fantastic service. Our server did a great job covering the restaurants approach to food and service and helped guide us through the menu making excellent suggestions for wines, appetizers and our dinner selection.

The ambiance is fun and engaging vs. formal and stuffy which makes the whole experience at Black Cow Chophouse even more enjoyable.",3.0,Black Cow,0.9991,Sunday
25,2023-08-07,5.0,"My husband and I had an amazing anniversary dinner here this evening. From the spectacular service to the delicious food, so, so good. I wanted to try something different and had the bavette. SO. GLAD. I. DID. I had it with the chimichurri, but honestly, it didn't need it. I found myself going to the confit garlic on the side even more than the chimichurri, which was good by the way. That garlic though, I am going to need to learn how to make that at home. The smashed red potatoes were killer. We told our waiter we just wanted potatoes as a side, and for him to choose. Solid choice he made for us!",28.0,Black Cow,0.9331,Monday
26,2023-07-13,5.0,"Tonight was a great night came in from Los Angeles to visit some family that have relocated.

Got a massive meal 5 apps, everyone got steaks,etc.

My steak was a bit undercooked while all the rest were perfect. I didn't even say anything but server could tell I wasn't pleased and rectified the situation very swiftly.

All in all we left full and the deserts were great.

Appreciate tier one level service and food on a Friday night in a small town!",51.0,Black Cow,0.9385,Thursday
27,2023-05-08,4.0,"Food was impeccable. We had a type of cut I had the Bavette, which I was excited to try and had never had before. Sides were also great. And while we sat outside and it was hot as you know what, it was manageable. The interior design is impressive and I'd return to eat inside. 

This place gets an additional star with an attitude adjustment. Pretentiuos hostess and pretentious, disinterested, gloomy server. 
I get it, everyone has a bad day. But put on your game-face for a few hours and smile at your customer.  We are an engaging fam...we are not pretentious and generally look for and bring positive mojo.  Perhaps it is just C-ville...but I doubt it.  #smile, please.",27.0,Black Cow,0.9224,Monday
28,2023-08-14,5.0,"An absolutely wonderful visit to the neighborhood couldn't have ended better than a late night dinner here. Our server was so helpful and polite - and the food was absolutely amazing! We both went with a filet mignon and shared the lobster Mac n cheese- oh wow, could not have had a better choice if we had tried! We went with a beautiful bottle of red which we were able to cork and take the remainder home- necessary after starting with some perfectly dirty martinis. Cannot wait to come back!",627.0,Black Cow,0.9689,Monday
29,2023-08-18,5.0,"Food prepared with care and precision. Tasty, creative, with communal atmosphere. Accommodating kitchen and servers.",6.0,Black Cow,0.7906,Friday
30,2023-08-25,5.0,"I took my husband there to celebrate his birthday.  From the moment we walked in our experience was flawless.  The hostess was great (changed our table so we were not sitting right next to 2 infants), our waitress, Kat was terrific and knowledgeable and had awesome recommendations.   The food was exquisite and I never say that.  My husbands chateaubriand was heaven, my crab cakes Devine and the sides did not disappoint.  The desserts just put the entire experience over the top.  We will definitely be back!",1.0,Black Cow,0.9811,Friday
31,2023-08-25,5.0,"Phenomenal food! We were in the area visiting Monticello and stopped in for dinner. Every steak was delicious and we tried five. The happy hour meal was such a great deal-- so delicious. We loved the lobster Mac and cheese, the mashed potatoes were so good. Wish we could have stayed for dessert!",59.0,Black Cow,0.9794,Friday
32,2023-05-09,5.0,One of my favorite places to dine. The beef is fantastic Excellent service Loved the down to earth atmosphere Can't wait to go back,7.0,Black Cow,0.9349,Tuesday
33,2023-07-09,5.0,"Really great place! Pretty interiors, busy bar, quick crowd. Friendly accommodating service. I ordered their drink special which was the pineapple fin- a really refreshing pineapple-infused finlandia vodka. Wish it was chilled a bit more but I really appreciated the big chunk of pineapple. I was worried it might be too sweet and ""juice"" tasting but I could really tell the cocktail was just infused (30 days, apparently!)

For food I started with the sherry vinaigrette salad. Simple mixed greens but the greens were super tender and fresh. Dressing was light, the added pickled onions and fine shredded parmesan were great. I got the bavette steak cooked medium, with side sauces of the peppercorn and the chimichurri. The steak had a great sear, came out more on the medium rare side and a tad salty, but the beef flavor was great. Also tried the creamed spinach and whipped potatoes which were so comforting and delicious, the potatoes were SO dangerously buttery and creamy. We also tried the belgian fries which were underwhelming- dry, felt a bit stale to me, no flavor. They are apparently featured as a specialty (double fried and all that) but reminded me of In-n-Out's anticlimactic fries. 

For dessert we tried the crême brûlée, which was SO decadent with a perfectly crisp glassy top. The key lime pie had a perfect balance of flavor, tartness, sweetness, and a creamy texture complemented well with the crunchy rich crust. I didn't get a chance to try the flourless cake and ice cream but they must have been food because they were gone in a pinch!

Overall great place, I would come back if I was in the area. Lots of options to fit any budget and generally enjoyable experience!",131.0,Black Cow,0.9983,Sunday
34,2023-09-16,5.0,Just amazing. Some of the best food I've had in a long time. Excellent cuts of steak and great service.,142.0,Black Cow,0.9393,Saturday
35,2023-11-10,5.0,"Visited for our 27th Anniversary. First timers. Bring your wallet, but this place is AMAZING and you won't regret. I would go back in a heartbeat. 

I don't think I've ever had a steak this good. We shared the Chateaubriand medium rare with butter on top. It was wonderful. We also got side of red potato's and a few drinks. Service was impeccable. 

Make reservations. The place is small but charming. 

Keep up the great work Black Cow!",347.0,Black Cow,0.9901,Friday
36,2023-11-10,5.0,This is a phenomenal steakhouse. The cuts of meat are cooked to perfection. Theo drinks are good. Best of all roasted vegetables for a side. Everything was great. Service was also excellent. We will be frequenting this restaurant for sure!,14.0,Black Cow,0.9638,Friday
37,2023-10-13,4.0,"Came here to celebrate a friend's birthday and I would say the steak at Black Cow is solid. I thought the steak was seasoned well on its own. Glad to see that they aren't afraid to use salt! We also ordered some sides to share with the table and the lobster mac and cheese was definitely the showstopper. I liked how the mac and cheese had a slight crust on it. The only thing about our experience is that some of our steaks were inconsistent in terms of cook. Some steak frites that were ordered with red came out with no red. The staff apologized and were attentive when we pointed this out and brought out fresh, new steaks cooked to the right temp.",201.0,Black Cow,0.9571,Friday
38,2023-11-13,5.0,"Where to start.... first if you are going to go, make a reservation WAY ahead of time. We were lucky to have arrived early and been able to sit at the bar otherwise we would have not been able to eat there.
As for the food, it was spectacular. The steaks are cooked perfectly and all of the flavor of a quality meat you could ask for. They have a variety of choices but I would say you can't go wrong with any of them.
Most importantly, you will enjoy anything you get.",2.0,Black Cow,0.9384,Monday
39,2023-11-20,5.0,"Great spot, fun vibe, excellent food! The shrimp cocktail, beet salad and lobster mac were delicious. My husband and I split a rib eye which was also amazing.",11.0,Black Cow,0.9633,Monday
40,2023-11-26,5.0,"Went here for a date night, and let me just say...Best. Restaurant. Ever. It was cold outside and they offered us blankets and hot water. Very generous! Our waitress was named Valerie. Best. Server. Ever. We ordered elk and the black cow burger. Best. Decision. Ever. We also had bread and butter. Now this wasn't your Texas Roadhouse bread and butter...this was bread and butter made from God himself. On the side we got whipped mashed potatoes...like holy cow! Gloriousness. Then to finish it off we got crème brûlée and **** me that was to die for. And let me say all that was inexpensive for the heaven that reached my stomach. At the end we thought this awesome customer service and restaurant was the end, but we were wrong. They packed our food for us?! We tipped well! Let me say again. BEST. RESTAURANT. EVER.",9.0,Black Cow,0.9626,Sunday
41,2023-01-12,5.0,"Highly recommend taking advantage of their happy hour deal where you can get steak frites (chef's cut of choice and a sauce) for less than $20 (plus drink deals too!). What a steal for a high quality tasty steak and delicious crispy fries. I got to try the flank with chimichurri sauce and it was perfectly cooked, tender, and flavorful. I have nothing bad to say about it! I also tried the fried brussels - one of my favorite sides/appetizers and they did not disappoint. I was particularly happy with the bits of apple and pickled fennel in it. I would recommend making a reservation ahead of time as this place stays busy. There is bar seating available and a comfortable space of both indoor and outdoor tables (with heaters).",400.0,Black Cow,0.9832,Thursday
42,2023-02-12,5.0,I've eaten steaks all over the world and while we were visiting the wineries in this area I could not pass up this place based on their reviews. It's not often you eat a steak Argentine style. The service was great and loved the ambiance. Enjoy!!,13.0,Black Cow,0.915,Sunday
43,2023-09-12,5.0,The food here was great. Extremely tasty. Very fresh. Service was amazing. The waiter was super knowledgeable about the entire menu and very attentive. I would highly recommend.,417.0,Black Cow,0.9549,Tuesday
44,2023-12-17,5.0,"The food was so, soooo good. Best I've had in a while. Service was prompt, friendly, and attentive. It's a bit higher-priced than some other places in the area, but it's well worth it for the quality of ingredients, preparation, and overall experience. I can't wait to go back and try different cuts!",4.0,Black Cow,0.8133,Sunday
45,2023-12-17,5.0,"So happy Charlottesville finally has a good steak place! You can definitely tell the steaks are high quality and they were cooked to perfection. I would highly recommend coming during happy hour (4:30-6 pm) for the Chefs Special steak frites which includes 6 oz steak cut, fries, and sauce (could also add salad for $3). I also ordered a side of brussle sprouts and they were amazing - had a perfect char to them and topped with some pickled radish and apple that helped cut into the fat. I'm already looking forward to coming here again!",112.0,Black Cow,0.9811,Sunday
46,2023-12-24,5.0,"Food was freaking awesome and they had cherry coke! The fries that came with our burgers were some of the best I've had (Belgian fries). My only complaint is that the chef cooks burgers ""pink"" or ""some pink"". My fiancee thought it was perfect and melted in his mouth, but I ordered mine ""some pink"" and really struggled. It wasn't the usual ""medium"" pink I order. Besides that, just be aware this restaurant takes reservations only, unless you sit at the bar, but seating there is limited and fills up quickly.",28.0,Black Cow,-0.2918,Sunday
47,2024-01-20,2.0,"Maybe it was just a really off night for the food we were served when we visited the Black Cow Chophouse . They have an amazing sounding happy hour where you can order Steak Frites for $18. We decided to stop in after a long week of work and got there around 5:40 (happy hour of 4-6). The hostess told us we had 5 minutes to order so we hurried to the last two seats at the bar and ordered quickly.

I ordered a Moscow Mule and my boyfriend ordered a Margarita. Both were just not good. The Moscow mule had virtually no ginger beer in it.

The steak dinners were so disappointing. Everything was SO salty-I couldn't even eat the fries. The one steak was cooked incorrectly (asked for medium rare and it was medium well). Both steaks were warm at best, definitely not fresh. We understand steaks need to rest but these had rested wayyyy too long. 

The bartender never checked on us. The two stars are for the ambiance of the restaurant. For almost $70, definitely a disappointing visit.",227.0,Black Cow,-0.1069,Saturday
48,2024-01-21,5.0,"The Black Cow Chophouse is one of the most amazing places I have ever dined. I have spent six months trying to come up with a way to accurately describe this restaurant in a review. The staff and service is phenomenal, personal, and full of expertise. The selection of local steak is not only artisan but also very well priced, the cocktails are handcrafted with a wonderful attention to detail. The Steak Tare Tare and the crushed potatoes are by far the best food I've ever had, over the several visits to the Black Cow the bar is raised every time by consistent performance. I have had the luxury of eating across several countries and I can say without a doubt the Black Cow Chophouse is one of the finest places I have ever been. If I were given the choice of my last meal on earth it would be at this restaurant. I always look forward to any opportunity to visit.",1.0,Black Cow,0.9645,Sunday
49,2024-01-30,5.0,"Let me clear up a misconception about cost. This restaurant fairly priced its selections. The caliber of the food is exceptional. The portions are generous, so much so that salads and sides are easily shared by two without skimping. If you appreciate fine food then you will agree that the prices are appropriate given the size and quality the Black Cow Chophouse offers. Try the Veal...WOW!
Matre'd was exceptional on January 28th as was Meesha our server. This NYC girl enjoyed a fine dinner and celebrated a milestone birthday with Black Cow Chophouse. Thank you to all",42.0,Black Cow,0.9783,Tuesday
50,2024-03-02,5.0,Excellent steak and sides in a comfortable atmosphere. On weekends make a reservation or go very early or very late.,46.0,Black Cow,0.7906,Saturday
51,2024-02-19,1.0,My party of six walked in to have dinner at 7:15pm. After 20 min of wait they told us they couldn't sit us down because they had ran out of food and they had other reservations. This is while someone was already preparing the table for our group. Clearly communication lacks between employees. Next time it will be nice to know from the beginning and not have us wait in the cold (outside) while they figured they didn't have enough food to serve people. While food looks great online the service was horrific.,3.0,Black Cow,0.7845,Monday
52,2024-03-14,3.0,Good food (typical steakhouse not extraordinary but very solid) and insincere upsell sort of waiter (who was professional otherwise)  but didn't appreciate the woke ban on legal concealed carry prominently featured on the door. Bad policy. I don't patronize places that try to play cop. Plenty of other choices.,110.0,Black Cow,-0.9158,Thursday
53,2024-03-18,5.0,"Amazing food, service, and ambiance! Best steak in town. The Black Cow is a must visit in Charlottesville.",8.0,Black Cow,0.8516,Monday
54,2024-03-30,5.0,"We loved our dinner at Black Cow! We were only in town for two days and didn't have dinner plans our second night, but we had walked past this place earlier in the day and decided to come back that night - so glad we did! It was pretty full, even at 8:45 when we got there, and the vibe was great - simple and modern aesthetic, laid back feel, friendly staff, good wine list - checked all the boxes!

We shared the bone-in KC strip and the whipped golden potatoes for dinner. The steak tasted great - we ordered in medium rare, and it almost looked closer to rare, but I'll take that over a steak being overcooked any day. I liked the confit onions & garlic and the generous pile of sea salt on the plate with the steak, too - really brought out the flavor! The whipped potatoes were a treat as well - they had some of the confit onions and garlic on them too, and they were a great compliment to the meat. 

Would definitely recommend Black Cow to anyone looking for a great steak in Charlottesville - it was lovely!",213.0,Black Cow,0.9979,Saturday
55,2024-04-04,5.0,"A wonderful dinner at Black Cow last night, great beef and a lengthy wine list. Our server, Landon, was fast and knowledgeable and also a class act: I paid for the six of us and added tip then, as we were standing out front, Landon came running out to let me know the tip had already been included. I added a bit more but even so, he saved me a considerable sum. Thank you, Landon, and we highly recommend Black Cow!",25.0,Black Cow,0.9455,Thursday
56,2024-12-04,5.0,"Great steak, great sides, and good vibes. The service is great and attentive. It's definitely one of my favorite, if not top steak house in Cville.",19.0,Black Cow,0.9653,Wednesday
57,2024-04-16,3.0,"Pretty solid food and service. But they have not cooked my steak correct a single time I have gone. The first two times I asked for medium, the steak came out completely raw (they cut it before service, so they are aware of the steak's temperature). 

Last time I went, I was asked if I wanted my steak ""pink or no pink"" which is very strange and probably not what you should be asking for a steak. The steak came out cold and raw on the inside. Given the language on the menu, the kitchen seems to have strong opinions on how a steak needs to be cooked (raw/rare). To sum up, if you want solid food and are cool with your steak being very undercooked, I think you will enjoy this place a lot.",18.0,Black Cow,0.8387,Tuesday
58,2024-04-27,5.0,"Happy hour review only!

Came here for the Happy and we ordered the Steak Frites, Mac & Cheese, Lobster Bisque and the Brussel Sprouts. Wow the Steak Frites is Huge value as is it he lobster mac and cheese. I would definitely come back for the HAPPY HOUR. Very Very Good restaurant with great service right on the main street across from the Quirk hotel.",393.0,Black Cow,0.9847,Saturday
59,2024-04-28,2.0,"While the food was fine, the manager was rude to patrons and wait staff. She sets a very stiff, not relaxing environment. Will not be returning.",2.0,Black Cow,-0.6239,Sunday
60,2024-04-30,3.0,"Disappointed overall. Urban-like atmosphere--comfortable. Meal service excellent--Dinner salad unmemorable, asparagus wilted, crispy potatoes good.  Steak well done-ordered medium. Cut off several burned pieces. Took overly long time for bar service. For a $220+ meal for 2-disappointing.",6.0,Black Cow,-0.0516,Tuesday
61,2024-01-05,5.0,Excellent service and great value at this location - would come back again and again. If only we lived closer! We sat outside protected from the rain and had a delicious meal and yummy cocktails.,15.0,Black Cow,0.9661,Friday
62,2024-04-05,5.0,"Drove into Charlottesville, VA from Baltimore, and went to the Yelp app to look for a dinner venue.  The Black Cow looked interesting, and we were ready for red meat.

The venue is cool.  It appears to be an old service station that has been  decorated in a bovid motief.  It has a nice bar, not very large, seats about 10.  Outside dining is available

We did not have reservations, and the wait was about an hour, so we chose to eat at the bar.  Good choice!  The bartender (Noah) was excellent.  The bourbon selection was also excellent.  I had my first pour of Woodford 121.2.  Really enjoyed it.

The salads were good.  Warm bread was served.  We both had the New York strip, and they were nicely seasoned and perfectly cooked.

Ratings:
Venue 4/5. Found the barrel bar stools uncomfortable.
Service - 5/5
Food - 5/5
Cost - $$$
Overall, we had a very good experience.",127.0,Black Cow,0.9879,Friday
63,2024-06-05,2.0,"Service was good and quick, large portions. Honestly, portions were too large. No way a group of 2 could finish even one side dish. Food was underseadoned for my taste. Everything we ordered (except for the complimentary bread and butter) needed salt at the least. Crab cakes were bland and oddly sweet. Lobster mac and cheese sauce was a little grainy, maybe too much flour used. It also had little to no seasoning. Was disappointed given the cost. I hate to say this, but Oakhart Social, which is across the street, has much better flavors at a more reasonable cost.",1.0,Black Cow,0.6473,Wednesday
64,2024-05-13,5.0,"The appetizer Steak and fries, the steak is perfectly cooked tenderloin. We had the salmon and crab cakes, house salads and oyster Rockefeller! Our waitress was awesome and food was delicious! Definitely will be back!",20.0,Black Cow,0.9466,Monday
